    Socio Selectivity variable        value
1      Low      Medium   Income  35000.00000
2      Low      Medium   Income  39000.00000
3      Low      Medium   Income  24000.00000
4      Low      Medium   Income  27000.00000
5      Low      Medium   Income  47000.00000
6      Low      Medium   Income  31000.00000
7      Low      Medium   Income  29000.00000
8      Low      Medium   Income  44000.00000
9      Low      Medium   Income  21000.00000
10     Low      Medium   Income  33000.00000
11     Low      Medium   Income  23000.00000
12     Low      Medium   Income  27000.00000
13     Low      Medium   Income  38000.00000
14     Low      Medium   Income  46000.00000
15     Low      Medium   Income  32000.00000
16     Low      Medium   Income  51000.00000
17     Low      Medium   Income  28000.00000
18     Low      Medium   Income  30000.00000
19     Low      Medium   Income  26000.00000
20     Low      Medium   Income  41000.00000
21     Low      Medium   Income  18000.00000
22     Low      Medium   Income  39000.00000
23     Low      Medium   Income  43000.00000
24     Low      Medium   Income  15000.00000
25     Low      Medium   Income  18000.00000
26     Low      Medium   Income  12000.00000
27  Medium      Medium   Income  46000.00000
28  Medium      Medium   Income  53000.00000
29  Medium      Medium   Income 158000.00000
30  Medium      Medium   Income  61000.00000
31  Medium      Medium   Income  38000.00000
32  Medium      Medium   Income  65000.00000
33  Medium      Medium   Income  39000.00000
34  Medium      Medium   Income  68000.00000
35  Medium      Medium   Income  25000.00000
36  Medium      Medium   Income  44000.00000
37  Medium      Medium   Income  49000.00000
38  Medium      Medium   Income  51000.00000
39  Medium      Medium   Income  88000.00000
40  Medium      Medium   Income  51000.00000
41  Medium      Medium   Income  72000.00000
42  Medium      Medium   Income  81000.00000
43  Medium      Medium   Income  64000.00000
44  Medium      Medium   Income  45000.00000
45  Medium      Medium   Income  77000.00000
46  Medium      Medium   Income 140000.00000
47  Medium      Medium   Income  40000.00000
48  Medium      Medium   Income  81000.00000
49  Medium      Medium   Income  46000.00000
50  Medium      Medium   Income  66000.00000
51  Medium      Medium   Income  79000.00000
52  Medium      Medium   Income  47000.00000
53  Medium      Medium   Income  68000.00000
54  Medium      Medium   Income  43000.00000
55  Medium      Medium   Income  48000.00000
56  Medium      Medium   Income  88000.00000
57    High      Medium   Income 115000.00000
58    High      Medium   Income 104000.00000
59    High      Medium   Income  56000.00000
60    High      Medium   Income  97000.00000
61    High      Medium   Income  52000.00000
62    High      Medium   Income  55000.00000
63    High      Medium   Income  88000.00000
64    High      Medium   Income 124000.00000
65    High      Medium   Income  64000.00000
66    High      Medium   Income  69000.00000
67    High      Medium   Income  71000.00000
68    High      Medium   Income 104000.00000
69    High      Medium   Income 162000.00000
70    High      Medium   Income  68000.00000
71    High      Medium   Income  81000.00000
72    High      Medium   Income  60000.00000
73    High      Medium   Income 106000.00000
74    High      Medium   Income  61000.00000
75    High      Medium   Income  62000.00000
76    High      Medium   Income  65000.00000
77    High      Medium   Income  64000.00000
78    High      Medium   Income  78000.00000
79    High      Medium   Income  99000.00000
80    High      Medium   Income  41000.00000
81    High      Medium   Income 112000.00000
82    High      Medium   Income 157000.00000
83     Low        High   Income  55000.00000
84     Low        High   Income  36000.00000
85     Low        High   Income  69000.00000
86     Low        High   Income  69000.00000
87     Low        High   Income  44000.00000
88     Low        High   Income  72000.00000
89     Low        High   Income  65000.00000
90     Low        High   Income  63000.00000
91     Low        High   Income  39000.00000
92     Low        High   Income  27000.00000
93     Low        High   Income  68000.00000
94     Low        High   Income  53000.00000
95     Low        High   Income  32000.00000
96     Low        High   Income  57000.00000
97     Low        High   Income  42000.00000
98     Low        High   Income  51000.00000
99     Low        High   Income  38000.00000
100    Low        High   Income  30000.00000
101    Low        High   Income  71000.00000
102    Low        High   Income  54000.00000
103    Low        High   Income  54000.00000
104    Low        High   Income  36000.00000
105    Low        High   Income  60000.00000
106    Low        High   Income  38000.00000
107    Low        High   Income  28000.00000
108    Low        High   Income  53000.00000
109    Low        High   Income  25000.00000
110 Medium        High   Income  48000.00000
111 Medium        High   Income  71000.00000
112 Medium        High   Income  71000.00000
113 Medium        High   Income  56000.00000
114 Medium        High   Income  64000.00000
115 Medium        High   Income  60000.00000
116 Medium        High   Income  30000.00000
117 Medium        High   Income  43000.00000
118 Medium        High   Income  73000.00000
119 Medium        High   Income  86000.00000
120 Medium        High   Income  42000.00000
121 Medium        High   Income  25000.00000
122 Medium        High   Income  88000.00000
123 Medium        High   Income  35000.00000
124 Medium        High   Income  41000.00000
125 Medium        High   Income  54000.00000
126 Medium        High   Income  69000.00000
127 Medium        High   Income  33000.00000
128 Medium        High   Income  32000.00000
129 Medium        High   Income  60000.00000
130 Medium        High   Income  80000.00000
131 Medium        High   Income  42000.00000
132 Medium        High   Income  75000.00000
133 Medium        High   Income  48000.00000
134 Medium        High   Income  43000.00000
135 Medium        High   Income  87000.00000
136 Medium        High   Income  56000.00000
137 Medium        High   Income  24000.00000
138 Medium        High   Income  86000.00000
139   High        High   Income  70000.00000
140   High        High   Income  77000.00000
141   High        High   Income 125000.00000
142   High        High   Income 108000.00000
143   High        High   Income  57000.00000
144   High        High   Income 116000.00000
145   High        High   Income 100000.00000
146   High        High   Income  89000.00000
147   High        High   Income  57000.00000
148   High        High   Income  53000.00000
149   High        High   Income  89000.00000
150   High        High   Income  78000.00000
151   High        High   Income  63000.00000
152   High        High   Income 106000.00000
153   High        High   Income 166000.00000
154   High        High   Income  63000.00000
155   High        High   Income 130000.00000
156   High        High   Income  68000.00000
157   High        High   Income 139000.00000
158   High        High   Income  91000.00000
159   High        High   Income  94000.00000
160   High        High   Income  85000.00000
161   High        High   Income  49000.00000
162   High        High   Income 104000.00000
163   High        High   Income  98000.00000
164   High        High   Income 126000.00000
165   High        High   Income  98000.00000
166    Low      Medium    y.hat     10.29499
167    Low      Medium    y.hat     10.29499
168    Low      Medium    y.hat     10.29499
169    Low      Medium    y.hat     10.29499
170    Low      Medium    y.hat     10.29499
171    Low      Medium    y.hat     10.29499
172    Low      Medium    y.hat     10.29499
173    Low      Medium    y.hat     10.29499
174    Low      Medium    y.hat     10.29499
175    Low      Medium    y.hat     10.29499
176    Low      Medium    y.hat     10.29499
177    Low      Medium    y.hat     10.29499
178    Low      Medium    y.hat     10.29499
179    Low      Medium    y.hat     10.29499
180    Low      Medium    y.hat     10.29499
181    Low      Medium    y.hat     10.29499
182    Low      Medium    y.hat     10.29499
183    Low      Medium    y.hat     10.29499
184    Low      Medium    y.hat     10.29499
185    Low      Medium    y.hat     10.29499
186    Low      Medium    y.hat     10.29499
187    Low      Medium    y.hat     10.29499
188    Low      Medium    y.hat     10.29499
189    Low      Medium    y.hat     10.29499
190    Low      Medium    y.hat     10.29499
191    Low      Medium    y.hat     10.29499
192 Medium      Medium    y.hat     10.99029
193 Medium      Medium    y.hat     10.99029
194 Medium      Medium    y.hat     10.99029
195 Medium      Medium    y.hat     10.99029
196 Medium      Medium    y.hat     10.99029
197 Medium      Medium    y.hat     10.99029
198 Medium      Medium    y.hat     10.99029
199 Medium      Medium    y.hat     10.99029
200 Medium      Medium    y.hat     10.99029
201 Medium      Medium    y.hat     10.99029
202 Medium      Medium    y.hat     10.99029
203 Medium      Medium    y.hat     10.99029
204 Medium      Medium    y.hat     10.99029
205 Medium      Medium    y.hat     10.99029
206 Medium      Medium    y.hat     10.99029
207 Medium      Medium    y.hat     10.99029
208 Medium      Medium    y.hat     10.99029
209 Medium      Medium    y.hat     10.99029
210 Medium      Medium    y.hat     10.99029
211 Medium      Medium    y.hat     10.99029
212 Medium      Medium    y.hat     10.99029
213 Medium      Medium    y.hat     10.99029
214 Medium      Medium    y.hat     10.99029
215 Medium      Medium    y.hat     10.99029
216 Medium      Medium    y.hat     10.99029
217 Medium      Medium    y.hat     10.99029
218 Medium      Medium    y.hat     10.99029
219 Medium      Medium    y.hat     10.99029
220 Medium      Medium    y.hat     10.99029
221 Medium      Medium    y.hat     10.99029
222   High      Medium    y.hat     11.29300
223   High      Medium    y.hat     11.29300
224   High      Medium    y.hat     11.29300
225   High      Medium    y.hat     11.29300
226   High      Medium    y.hat     11.29300
227   High      Medium    y.hat     11.29300
228   High      Medium    y.hat     11.29300
229   High      Medium    y.hat     11.29300
230   High      Medium    y.hat     11.29300
231   High      Medium    y.hat     11.29300
232   High      Medium    y.hat     11.29300
233   High      Medium    y.hat     11.29300
234   High      Medium    y.hat     11.29300
235   High      Medium    y.hat     11.29300
236   High      Medium    y.hat     11.29300
237   High      Medium    y.hat     11.29300
238   High      Medium    y.hat     11.29300
239   High      Medium    y.hat     11.29300
240   High      Medium    y.hat     11.29300
241   High      Medium    y.hat     11.29300
242   High      Medium    y.hat     11.29300
243   High      Medium    y.hat     11.29300
244   High      Medium    y.hat     11.29300
245   High      Medium    y.hat     11.29300
246   High      Medium    y.hat     11.29300
247   High      Medium    y.hat     11.29300
248    Low        High    y.hat     10.75521
249    Low        High    y.hat     10.75521
250    Low        High    y.hat     10.75521
251    Low        High    y.hat     10.75521
252    Low        High    y.hat     10.75521
253    Low        High    y.hat     10.75521
254    Low        High    y.hat     10.75521
255    Low        High    y.hat     10.75521
256    Low        High    y.hat     10.75521
257    Low        High    y.hat     10.75521
258    Low        High    y.hat     10.75521
259    Low        High    y.hat     10.75521
260    Low        High    y.hat     10.75521
261    Low        High    y.hat     10.75521
262    Low        High    y.hat     10.75521
263    Low        High    y.hat     10.75521
264    Low        High    y.hat     10.75521
265    Low        High    y.hat     10.75521
266    Low        High    y.hat     10.75521
267    Low        High    y.hat     10.75521
268    Low        High    y.hat     10.75521
269    Low        High    y.hat     10.75521
270    Low        High    y.hat     10.75521
271    Low        High    y.hat     10.75521
272    Low        High    y.hat     10.75521
273    Low        High    y.hat     10.75521
274    Low        High    y.hat     10.75521
275 Medium        High    y.hat     10.86493
276 Medium        High    y.hat     10.86493
277 Medium        High    y.hat     10.86493
278 Medium        High    y.hat     10.86493
279 Medium        High    y.hat     10.86493
280 Medium        High    y.hat     10.86493
281 Medium        High    y.hat     10.86493
282 Medium        High    y.hat     10.86493
283 Medium        High    y.hat     10.86493
284 Medium        High    y.hat     10.86493
285 Medium        High    y.hat     10.86493
286 Medium        High    y.hat     10.86493
287 Medium        High    y.hat     10.86493
288 Medium        High    y.hat     10.86493
289 Medium        High    y.hat     10.86493
290 Medium        High    y.hat     10.86493
291 Medium        High    y.hat     10.86493
292 Medium        High    y.hat     10.86493
293 Medium        High    y.hat     10.86493
294 Medium        High    y.hat     10.86493
295 Medium        High    y.hat     10.86493
296 Medium        High    y.hat     10.86493
297 Medium        High    y.hat     10.86493
298 Medium        High    y.hat     10.86493
299 Medium        High    y.hat     10.86493
300 Medium        High    y.hat     10.86493
301 Medium        High    y.hat     10.86493
302 Medium        High    y.hat     10.86493
303 Medium        High    y.hat     10.86493
304   High        High    y.hat     11.38829
305   High        High    y.hat     11.38829
306   High        High    y.hat     11.38829
307   High        High    y.hat     11.38829
308   High        High    y.hat     11.38829
309   High        High    y.hat     11.38829
310   High        High    y.hat     11.38829
311   High        High    y.hat     11.38829
312   High        High    y.hat     11.38829
313   High        High    y.hat     11.38829
314   High        High    y.hat     11.38829
315   High        High    y.hat     11.38829
316   High        High    y.hat     11.38829
317   High        High    y.hat     11.38829
318   High        High    y.hat     11.38829
319   High        High    y.hat     11.38829
320   High        High    y.hat     11.38829
321   High        High    y.hat     11.38829
322   High        High    y.hat     11.38829
323   High        High    y.hat     11.38829
324   High        High    y.hat     11.38829
325   High        High    y.hat     11.38829
326   High        High    y.hat     11.38829
327   High        High    y.hat     11.38829
328   High        High    y.hat     11.38829
329   High        High    y.hat     11.38829
330   High        High    y.hat     11.38829
