	FN8Dad.Nasal.TP2	FN8Dad.Nasal.TP3	FN8Dad.Nasal.TP1	FN6Child.3.nasal.TP1	FN6Child.3.nasal.TP2	FN3Mom.Nasal.T2	FN8Child.1.Nasal.TP2	FN8Child.1.Nasal.TP3	FN8Mom.Nasal.TP1	FN3Mom.Nasal.TP3	FN8Mom.Nasal.TP3	FN4Dad.Nasal.TP2	FN4Dad.Nasal.TP3	FN4Dad.Nasal.TP1	FN1Child.2.Nasal.TP2	FN1Child.2.Nasal.TP1	FN4Child.1.Nasal.TP1	FN3Child.1.Nasal.TP2	FN9Dad.Nasal.TP1	FN9Dad.Nasal.TP3	FN9Dad.Nasal.TP2	FN3Dad.Nasal.TP3	FN3Dad.Nasal.TP2	FN3Dad.Nasal.TP1	FN7Child.3.Nasal.TP3	FN7Dad.Nasal.TP1	FN6Mom.Nasal.TP2	FN6Child.1.Nasal.TP2	FN1Child.2.Nasal.TP3	FN6Child.1.Nasal.TP1	FN3Child.1.Nasal.TP3	FN3Child.2.Nasal.TP2	FN8Child.1.Nasal.TP1	FN3Child.2.Nasal.TP3	FN4Child.2.Nasal.TP3	FN4Child.2.Nasal.TP2	FN4Child.2.Nasal.TP1	FN4Mom.Nasal.TP1	FN7Mom.Nasal.TP1	FN7Mom.Nasal.TP3	FN7Mom.Nasal.TP2	FN1Mom.Nasal.TP3	FN1Mom.Nasal.TP2	FN1Mom.Nasal.TP1	FN4Mom.Nasal.TP2	FN7Child.3.Nasal.TP2	FN7Dad.Nasal.TP3	FN7Dad.Nasal.TP2	FN4Mom.Nasal.TP3	FN7Child.1.Nasal.TP1	FN7Child.1.Nasal.TP3	FN7Child.1.Nasal.TP2	FN6Dad.Nasal.TP2	FN6Dad.Nasal.TP3	FN9Mom.Nasal.TP1	FN8Mom.Nasal.TP2	FN6Dad.Nasal.TP1	FN4Child.1.Nasal.TP2	FN4Child.1.Nasal.TP3	FN3Child.1.Nasal.TP1	FN6Mom.Nasal.TP3	FN9Mom.Nasal.TP2	FN6Child.3.Nasal.TP3	FN6Mom.Nasal.TP1	FN6Child.1.Nasal.TP3	FN1Dad.Nasal.TP1	FN1Dad.Nasal.TP3	FN1Dad.Nasal.TP2	FN9Child.1.Nasal.TP3	FN7Child.2.Nasal.TP3	FN7Child.2.Nasal.TP1	FN9Mom.Nasal.TP3	FN3Child.2.Nasal.TP1	FN9Child.2.Nasal.TP1	FN9Child.1.Nasal.TP2	FN9Child.1.Nasal.TP1	FN1Child.1.Nasal.TP3	FN1Child.1.Nasal.TP2	FN1Child.1.Nasal.TP1	FN6Child.2.Nasal.TP1	FN6Child.2.Nasal.TP3	FN6Child.2.Nasal.TP2	FN9Child.2.Nasal.TP2
FN8Dad.Nasal.TP2	0.0	0.202712833389	0.0987295656051	0.433285570785	0.106569812538	0.500877206044	0.621932728084	0.586830294815	0.551695736727	0.518928971252	0.602365768159	0.107345474934	0.308102255957	0.45521124718	0.585013968033	0.507290904329	0.164390879623	0.653946984749	0.0769827421513	0.0833781894308	0.0957612887165	0.574344395734	0.359254590399	0.491441112252	0.108036409095	0.104878409579	0.500373161494	0.62192827411	0.520928119358	0.609877781628	0.566479479621	0.62811249522	0.482948599483	0.623238579579	0.584000115981	0.628005381246	0.562314214388	0.593223200445	0.135509060732	0.090860209091	0.0838064529553	0.642425109846	0.224382019422	0.186919599202	0.644788180903	0.610728014367	0.0678347101569	0.57224966109	0.495916958739	0.56516477951	0.700202349745	0.594663071984	0.0997333684038	0.230184173483	0.109301158114	0.519756153348	0.098035888599	0.282902612374	0.0634364383758	0.600574156979	0.520390422707	0.104542360476	0.548167251434	0.285246362704	0.659146522767	0.620104537563	0.353554645216	0.0991161124754	0.227186627195	0.61994049448	0.0913534882514	0.110215818955	0.587050210066	0.614503734766	0.350367581444	0.13273140507	0.345769797852	0.255400461006	0.235861413822	0.534722757573	0.56724708817	0.0939360389963	0.517881008837
FN8Dad.Nasal.TP3	0.202712833389	0.0	0.283057100336	0.446600005165	0.202811056777	0.518460372489	0.490006741933	0.514611276607	0.525294869291	0.537597861004	0.591003917707	0.290804185237	0.281483009191	0.454050145732	0.553905601724	0.462129737173	0.256038878051	0.651244073849	0.237875362194	0.248950853357	0.27828055344	0.544778504095	0.346610856202	0.461459213014	0.292156766778	0.288503003162	0.505973365383	0.621235262044	0.487112130231	0.584805262365	0.523873672477	0.640893621202	0.393313934142	0.636689543513	0.56372013397	0.611189852654	0.448798861671	0.582782774968	0.219637606054	0.250494969768	0.239763854293	0.515532578065	0.16388024626	0.17182847465	0.662951858164	0.637598197792	0.192746725175	0.424284936481	0.437776794579	0.403465589477	0.695454429228	0.428478551313	0.281067803446	0.237324522349	0.292752699584	0.507601050683	0.275732633846	0.301952933803	0.240544959747	0.573296649706	0.401085300039	0.288368718767	0.554146147622	0.184387184084	0.600231604558	0.571782216845	0.361579709766	0.223079945624	0.175439942995	0.529600343575	0.27669672178	0.294480149483	0.565681507083	0.627670827113	0.29303850283	0.180996676318	0.247273349545	0.179913325955	0.223197948216	0.49114655453	0.490104486896	0.23029361901	0.512173062694
FN8Dad.Nasal.TP1	0.0987295656051	0.283057100336	0.0	0.449511532449	0.155026898463	0.521859616322	0.690461103693	0.674003166563	0.598115837653	0.532762839972	0.601324815	0.0143367316115	0.339524058932	0.472083896644	0.605595484567	0.533628211219	0.175304268898	0.671261639446	0.0625126934825	0.0533643677058	0.0134035336984	0.656327801814	0.372807546717	0.503442361187	0.0116916307525	0.0104548382197	0.518518443835	0.650964321676	0.543237754672	0.652249436935	0.621414660119	0.643102233469	0.564075870604	0.637529153271	0.612370261948	0.651448788267	0.643332527541	0.589410477573	0.156889272998	0.0472463545744	0.0610404774359	0.705022863655	0.285695345189	0.257823054607	0.657453885701	0.635998645	0.11332540987	0.641076237798	0.555473585109	0.647942015886	0.748867197999	0.674697712927	0.0126026345355	0.263520661605	0.01341017	0.536178073472	0.0320908326561	0.293489736875	0.0664159595328	0.62131031416	0.601126465086	0.00809738115032	0.583417854074	0.352922880145	0.721835705743	0.656515030319	0.375693417266	0.113298440903	0.284753320688	0.701918236812	0.0250109404285	0.0140005916197	0.635030823876	0.629715866076	0.407924695876	0.18464814778	0.417790549853	0.306251034834	0.268429565803	0.57455807181	0.64583595445	0.119586267927	0.561991141938
FN6Child.3.nasal.TP1	0.433285570785	0.446600005165	0.449511532449	0.0	0.361269065439	0.158925786274	0.607818895944	0.702480757639	0.528709947695	0.166203053876	0.551959925511	0.446848149334	0.296754978982	0.356969366968	0.163476621433	0.376952655931	0.284422539752	0.266289238907	0.440946893132	0.454210418032	0.452164370431	0.425240255162	0.46027815551	0.444735292439	0.451301691101	0.450320200572	0.295516145564	0.270483093645	0.224694798295	0.240038398814	0.224509794908	0.238226121127	0.473207462073	0.207514943474	0.172906101369	0.278866739054	0.396645040267	0.538855364109	0.411991730845	0.440683252514	0.447892553081	0.636788742102	0.406764707194	0.430339176971	0.431261425297	0.466923544521	0.463424575452	0.549689629028	0.293845482558	0.549805709709	0.557109552465	0.588905894237	0.44748025163	0.371473918172	0.452230369806	0.49341432284	0.422703280062	0.16008950508	0.414077411712	0.226558605089	0.422029168376	0.450063295039	0.182485517996	0.408072437347	0.468397259135	0.699487876696	0.354243728323	0.460678678357	0.330253908104	0.658901456261	0.438705216691	0.451087839925	0.438509590642	0.19566037028	0.170540987219	0.361630192059	0.496990650053	0.481967394014	0.48203180441	0.317210899086	0.363740169734	0.349673954174	0.132857249665
FN6Child.3.nasal.TP2	0.106569812538	0.202811056777	0.155026898463	0.361269065439	0.0	0.471445931324	0.573888751621	0.604050886858	0.529502639926	0.48522856743	0.570352851503	0.161563810473	0.23395667077	0.437664809906	0.513268851315	0.430686842586	0.139831796144	0.585908806112	0.132637140433	0.144397750022	0.155993754244	0.557522010257	0.353932082364	0.451746664793	0.163137334401	0.160012923973	0.48165404178	0.566919499107	0.44850766346	0.521996350732	0.484979676094	0.559727080656	0.448557690917	0.551256461617	0.510233379815	0.58749964732	0.519267755424	0.556812584551	0.150345686758	0.143892235455	0.146066096923	0.609416792412	0.173988863355	0.156215672165	0.627431605579	0.610173166836	0.142380527996	0.570692176463	0.433921361943	0.535280648658	0.688450996014	0.558082202104	0.153736474081	0.196204711369	0.163728621115	0.488264638045	0.130255990346	0.247036035577	0.106338398652	0.533127596359	0.505821747714	0.159807505636	0.478509405697	0.262184807042	0.627447051411	0.650666415899	0.340597443357	0.152801059704	0.15823057503	0.629583037316	0.149531220275	0.165193698855	0.559447247779	0.542370616307	0.274126888867	0.100501606297	0.356335760353	0.239280711949	0.24123100739	0.492175935499	0.521427260192	0.0951874882104	0.432621944043
FN3Mom.Nasal.T2	0.500877206044	0.518460372489	0.521859616322	0.158925786274	0.471445931324	0.0	0.680201515274	0.734266088443	0.625275705944	0.0277284256044	0.649128393479	0.525808189808	0.411962037506	0.406843704999	0.188603151422	0.495607647978	0.362547097759	0.176506794394	0.50593246039	0.515065618216	0.520179402957	0.358481072803	0.538529525539	0.582738594691	0.526877286376	0.525842474431	0.223604017001	0.148760178412	0.353322224671	0.202099094357	0.155669634703	0.140475732108	0.556574912086	0.135016479827	0.129313563102	0.150378780094	0.431470389553	0.645970424009	0.48371912944	0.514681804952	0.520406800054	0.687389875407	0.490987688156	0.523503105689	0.345759452076	0.40267357951	0.535549345966	0.57406262511	0.413270540073	0.62216230869	0.490879455349	0.651638993124	0.525078250587	0.510572084112	0.528043121426	0.626397955568	0.524297674979	0.238199023398	0.488712801281	0.279179219958	0.446740247053	0.524573534921	0.0784190947456	0.479710484754	0.418934819122	0.739010330778	0.422179009914	0.520080154102	0.47456048318	0.698231115854	0.516330037489	0.528471138788	0.39616574657	0.126990602495	0.302005244058	0.449019886731	0.559842972309	0.556347153476	0.548001260692	0.254241736331	0.356769024905	0.423341169595	0.26347150634
FN8Child.1.Nasal.TP2	0.621932728084	0.490006741933	0.690461103693	0.607818895944	0.573888751621	0.680201515274	0.0	0.527726938452	0.62684753477	0.691708023854	0.678383302543	0.695775688759	0.522376827949	0.646179767401	0.599481253111	0.57730416735	0.626936427801	0.665054772382	0.65838552467	0.667291849166	0.690472190185	0.631941681909	0.653108891968	0.609197846759	0.69777940474	0.695302166244	0.661973229145	0.6990212559	0.556638351343	0.583890029216	0.559233215495	0.704811529004	0.431091351696	0.694944971543	0.623770246015	0.691649445748	0.513512318924	0.668459775596	0.638721580926	0.677693856675	0.661866405783	0.237460771753	0.51510444512	0.508012286597	0.750687472729	0.724785269957	0.601391186646	0.341161214592	0.515023215955	0.279577024798	0.752531330799	0.318938214933	0.689650300972	0.575023531381	0.698930956339	0.616996784418	0.680294242104	0.630876671541	0.636266896156	0.648743025353	0.43993105315	0.694462698457	0.656003329682	0.494933096784	0.614061994354	0.649889186697	0.641261829924	0.638778829209	0.511001634959	0.457206982283	0.682739740701	0.699676691003	0.647178366646	0.683858735643	0.527613023251	0.581446069702	0.534683966922	0.535726378477	0.622483321313	0.622119740109	0.485895436311	0.614763155454	0.56189688031
FN8Child.1.Nasal.TP3	0.586830294815	0.514611276607	0.674003166563	0.702480757639	0.604050886858	0.734266088443	0.527726938452	0.0	0.682662591717	0.749923576751	0.759976966215	0.681314004406	0.663876842308	0.772764905897	0.731195746807	0.693975932134	0.659034212538	0.796271122436	0.636264854506	0.644476012921	0.67030252424	0.66602479389	0.684572715877	0.703779719704	0.683170152676	0.679782548611	0.709881400146	0.758681415488	0.686903478416	0.745263851236	0.688430875698	0.775136149938	0.576727214431	0.774466814741	0.7238353206	0.760528609517	0.572443641262	0.752458309281	0.651816298529	0.658702902447	0.640595347326	0.568243469889	0.590878111854	0.581523870365	0.791834359701	0.766358395516	0.572602757773	0.558148398388	0.661234343195	0.579336108323	0.836517549702	0.450847563008	0.673192812823	0.619128896862	0.683795110411	0.696808030573	0.668071908342	0.691087446639	0.631932603584	0.740824937474	0.629740419552	0.679343507521	0.720743151813	0.589287068255	0.703245656598	0.485189715295	0.732534799657	0.644909281956	0.582032953275	0.259197658831	0.665979477425	0.685515084923	0.72020880086	0.766930774817	0.628347999223	0.591421157273	0.560496774494	0.575793657909	0.629417842325	0.711811261957	0.656703186933	0.637157852956	0.682207398231
FN8Mom.Nasal.TP1	0.551695736727	0.525294869291	0.598115837653	0.528709947695	0.529502639926	0.625275705944	0.62684753477	0.682662591717	0.0	0.644212731794	0.184081825407	0.606317508245	0.55462256175	0.663514098655	0.463172104939	0.187054717606	0.591541304881	0.668830609494	0.561991761041	0.562019645127	0.59325629733	0.587140363868	0.278636654363	0.180604481783	0.606169422094	0.60330582582	0.602928146511	0.664774657167	0.345465599829	0.62064371158	0.591885254687	0.639090579303	0.532173240075	0.611307216538	0.522482264602	0.638307402586	0.470271921189	0.197132668088	0.586403981424	0.587885127903	0.585401332278	0.724571584729	0.468136100065	0.530865365859	0.691391797522	0.66262376578	0.582539050805	0.684212184481	0.302344910433	0.525380825715	0.755554074438	0.536145700764	0.596271386872	0.363072520656	0.607123593743	0.153972240238	0.572536197386	0.603645652208	0.574942599457	0.39328403745	0.571576538479	0.603288542718	0.601568549474	0.433294060166	0.709905113306	0.775581059948	0.646257979651	0.509797839394	0.44973654593	0.730507833755	0.589585140281	0.609016057634	0.536257604114	0.596800505678	0.516285095276	0.557617473989	0.430330935404	0.498110880574	0.471116822457	0.583239772151	0.617974962718	0.575113090261	0.47201076888
FN3Mom.Nasal.TP3	0.518928971252	0.537597861004	0.532762839972	0.166203053876	0.48522856743	0.0277284256044	0.691708023854	0.749923576751	0.644212731794	0.0	0.657380014785	0.531580933198	0.421364992788	0.414667991684	0.193643785186	0.504065526902	0.367574750237	0.165398216429	0.523432013834	0.537985217074	0.532395562518	0.365254209337	0.555066500781	0.58887072864	0.534792131978	0.533665887601	0.230007907238	0.128620537409	0.360527070335	0.195663709171	0.162462533716	0.117900120448	0.57191792977	0.109234120988	0.133855622067	0.127346206829	0.453071057749	0.652210017362	0.497407597804	0.525515231423	0.532090104827	0.699953795959	0.514433097348	0.547232343969	0.332859351551	0.393191050467	0.549652163501	0.588790244149	0.423476847976	0.635683245025	0.486857995676	0.665061141961	0.533179953293	0.531889629148	0.535142387955	0.636350219263	0.53413001146	0.243449827185	0.501221282383	0.280111189538	0.459921676128	0.533525971016	0.067481716389	0.498055616395	0.418285371859	0.762783546024	0.435580975488	0.543157518735	0.489149382827	0.708557976893	0.521772163347	0.534490393792	0.389875409571	0.103891392072	0.315860316711	0.463164153234	0.584168772932	0.580060148086	0.571019225125	0.26097180869	0.367196422892	0.435543592439	0.272584526767
